link,reference_time,article_time,title,text,author,tags
https://kostroma.today/news/kostromskoj-millioner-zapravil-shtany-v-noski-i-raspolozhil-k-sebe-podpischikov/,2024-06-02 01:18:01.405579,2022-02-05 07:35:03+03:00,Костромской миллионер заправил штаны в носки и расположил к себе подписчиков,"Андрей Шелестов затронул интересную тему, поэтому комментариев очень много.Костромской миллионер Андрей Шелестов похвастался подписчикам новым нарядом, узнал KOSTROMA.TODAY.Особый акцент в подписи под фото он сделал на носках.«Пишете, что брюки в носки заправлять некрасиво. И не стильно, и неправильно.. Отвечаю: правильно — работать, думать о людях, стараться что-то изменить. В себе прежде всего. А носки можно носить как угодно. Или вообще не носить. А если носить, то менять вовремя. Вы же понимаете что дело то не в носках?» — написал Андрей в своем Инстаграме.Подписчики оценили философские мысли костромича, но все равно стали рассуждать, в основном, именно о носках, а не о человеческих качествах.«Не трусы на уши…уже хорошо», «Мода из нового мира. Нам не понять», «Интересно если я так на работу приду, что мне скажет работодатель?», «С ценами на оригинальные КРОСЫ, я бы носки прям на кросы одевал», «Конечно заправляй, это же огонь. В деревнях дедушки так делают, получается они в теме», — написали комментаторы (орфография и пунктуация авторов сохранены).Правда, оказались и те, кто отметил, что Андрей абсолютно прав, и, главное, не образ, а сам человек, как в той старой пословице «Не одежда красит человека, а человек одежду».Сам миллионер, кстати, ответил на все комментарии спокойно, даже на те, где написано про дедушек. А еще сказал, что очень старался, когда выбирал наряд и даже посоветовался с друзьями.Костромской бизнесмен Андрей Шелестов называет себя «оружейным бароном», потому что владеет сетью оружейных магазинов по всей России, у него есть свой ресторан, огромный особняк и вертолет. Также он активно ведет свой блог в Инстаграме, где накопилось уже больше 500 тысяч подписчиков.",Мария РОГАНОВА,
https://kostroma.today/news/kostromicha-lishili-prav-za-otorvannyj-na-zapravke-pistolet/,2024-06-02 01:17:41.530822,2023-06-03 16:30:32+03:00,Костромича лишили прав за оторванный на заправке пистолет,"Мужчину привлекли к ответственности по статье ""Оставление места ДТП"".Оторванный на заправке пистолет приравняли к ДТП, узнал KOSTROMA.TODAY. Как нам удалось узнать, мужчина ночью приехал на заправку, но забыл вынуть из бака пистолет, поехал с ним и, соответственно, его оторвал. После этого он вернулся, положил пистолет к колонке и уехал.Этот эпизод приравняли к ДТП, поэтому против мужчины составили протокол по статье «Оставление места ДТП» и лишили прав на год. Но водитель обжаловал решение мирового судьи.«Считал нарушение малозначительным. После случившегося он растерялся, решил, что данное происшествие не является ДТП. Позднее он возместил ущерб заправке, потерпевшая сторона претензий к нему не имеет», — говорится в сообщении пресс-службы Костромского областного суда. Однако суд вышестоящей инстанции отклонил доводы, отметив, что оставление места ДТП является грубым нарушением правил, а ущерб мужчина возместил только после того, как владелец заправки написал заявление в полицию.",Марфа ВАСИЛЬЕВА,
https://www.bnkomi.ru/data/news/172285,2024-06-02 01:32:09.265227,,Для капремонта детской школы искусств в Емве пришлось заключить новый контракт,"С первым подрядчиком не получилось — он не приступил к работе, второй от всего отказался. В итоге договор подписали с третьим, но ремонт стал стоить дороже.Фото пресс-службы Госсовета КомиВ январе этого года финансовое управление администрации Княжпогостского района разместило на портале госзакупок аукцион на выполнение капитального ремонта здания детской школы искусств в Емве по адресу: улица Дзержинского, 72. Начальная цена контракта составляла 54,4 млн рублей. В проекте контракта указано, что в сумму входят средства федерального, республиканского и местного бюджетов.
На торги заявились пять участников, победителем признали индивидуального предпринимателя Эльмана Шахверанова, который согласился выполнить работу за 44,3 млн рублей. Согласно условиям контракта, демонтажные работы должны были начаться 26 февраля, отделочные — 1 марта, монтаж инженерных сетей — 15 марта. Но график не соблюдался — на контрольные даты подрядчик к работам даже не приступил. Поэтому школа приняла решение расторгнуть контракт в одностороннем порядке.
Сделать капремонт предложили участнику торгов под вторым номером — это была строительная фирма «Основа», которая вышла на аукцион с ценой в 44,6 млн рублей. Но она отказалась от заключения контракта.
А вот третий участник торгов — ООО «Строительная фирма «Лалвар» — согласилась. Контракт с ней был заключен в конце апреля на сумму в 50,6 млн рублей (это больше, чем стоимость по первому договору, но меньше, чем изначально планировалось потратить). В конкурсной документации было прописано, что ремонт надо сделать за семь месяцев. Если фирма уложится в эти сроки, то работы будут завершены еще до нового года.
Согласно смете, капремонт предполагает замену окон и дверей, демонтаж старых и кладку некоторых внутренних стен и перегородок, разборку встроенных шкафов и устройство новых шкафных стенок, звуко- и шумоизоляцию некоторых помещений, замену полов и устройство подвесных потолков, отделочные работы, ремонт кровли, систем водоснабжения, канализации, отопления, теплового узла, системы контроля доступа.
Объект 31 мая посетил председатель Государственного совета Коми Сергей Усачев и глава Княжпогостского района Анатолий Немчинов. Как сообщает пресс-служба регионального парламента, сейчас новый подрядчик занимается демонтажем конструкций, до конца года строители должны отремонтировать фасад, крыльцо, кровлю и внутренние помещения.
«Главное, что учебный процесс не остановлен, воспитанники будут временно заниматься в других учреждениях. Работы ведутся по графику, под контролем администрации, поэтому Новый год дети должны встретить уже в обновленной школе», — сказал Сергей Усачев.
*** Детская школа искусств в Емве была образована в 1962 году как музыкальная школа. В 1991 году районная администрация предоставила для учреждения дополнительного образования большое здание в центре города, что дало возможность открыть новые отделения.
Кирилл Наумов",,
https://kostroma.today/news/otopitelnyj-sezon-vozobnovlyayut-v-kostromskoj-oblasti/,2024-06-02 01:15:32.741140,2024-05-03 14:45:00+03:00,Отопительный сезон возобновляют в Костромской области,"Но не везде.В некоторых районах Костромской области включили отопление, узнал KOSTROMA.TODAY. В частности, о своем решение объявила администрация Костромского района.«С 3 по 10 мая 2024 года на территории Костромского муниципального района возобновлён отопительный период. Соответствующее постановление подписано», — отметили чиновники.Жители Костромы, узнав о таком положении дел, тоже потребовали тепла, потому что стало резко холодать на улице.«Запуск центрального теплоснабжения является сложным технологическим процессом, связанным с установлением зимнего гидравлического режима. Это занимает не менее 7 дней, в связи с чем возобновление отопительного периода в настоящее время не запланировано», — рассказали в управлении ЖКХ.Напомним, отопление в квартирах горожан отключили 25 апреля.",Марфа ВАСИЛЬЕВА,
https://www.bnkomi.ru/data/news/172299/,2024-06-02 01:31:03.812447,,В Коми придет циклон с запада,"Ожидаются дожди и грозы.Фото из архива БНККак сообщает Коми ЦГМС, с началом календарного лета в атмосфере начнется и перестройка синоптических процессов — в выходные дни на юго-западе республики, на неделе на большей части территории республики произойдёт заметное повышение температуры воздуха.
Ожидается, что на юго- западе республики в выходные дни температура повысится до +23...+28С, на остальной территории до +12...+17С, на крайнем северо-востоке температура составит 0...+5С. Под влиянием области повышенного атмосферного давления существенных осадков не ожидается, лишь в отдельных центральных и южных районах в воскресенье пройдут кратковременные дожди.
На неделе солнечный антициклон уступит место циклону с запада. Погода станет более облачной с частыми кратковременными дождями, при этом не исключены и грозы. Температура воздуха останется летней +22...+27С днём и +8...+13С ночью, но при натекании облаков и дожде днём прохладнее +13...18С.
И заметно отличаться будет погода в районах Заполярья ночью здесь ещё до -6С, днём до +5...+7С.",,
https://kostroma.today/news/grigorij-leps-vpervye-prokommentiroval-incident-s-poklonnicej-v-kostrome/,2024-06-02 01:14:02.995457,2024-04-21 10:35:55+03:00,Григорий Лепс впервые прокомментировал инцидент с поклонницей в Костроме,"Он сказал, что костромичка его довела.Григорий Лепс впервые высказался после инцидента на концерте в Костроме, узнал KOSTROMA.TODAY.Напомним, артист выступал в нашем городе 13 апреля, в зале был солд-аут. Перед завершением концерта зрители подошли вплотную к сцене и начали снимать артиста на телефон. Во время известной песни «Водопадом» Григорий заметил, что одна девушка снимает его очень близко, поэтому вежливо попросил этого не делать. Но поклонница даже не обратила внимания на замечание, а продолжила снимать. После этого артист выбил телефон девушки рукой, и он отлетел в толпу.Накануне Григорий Лепс впервые прокомментировал ситуацию порталу «Страсти.ру». Он заявил, что не жалеет о своем поступке и отметил, что фанатка вывела его из себя. Также свое отношение к фанатке от выразил матом.«Два раза предупреждал. Она меня услышала, но плохо, видимо, с ушами», — отметил артист.При этом многие костромичи в соцсетях заступились за Григория Лепса и писали, что звезд не нужно снимать впритык.",Елизавета ВИШНЕВСКАЯ,
https://backend.alpha.kapi.bar/v1/posts/3d892e6c-f543-4c35-8145-205d41757f5c/,2024-06-02 00:26:43.476128,2024-05-22 04:32:56.068500+00:00,"Российские ученые создали первый в мире гель, который восстанавливает кость со стопроцентной идентичностью","Исследователи из Волгоградского государственного медицинского университета создали первый в мире биоассимилируемый гель для регенерации, который восстанавливает кости после ран, в том числе от крупных осколочных и пулевых ранений. Такая костная ткань после регенерации идентична настоящей.
О разработке сообщил ТАСС со ссылкой на доктора фармацевтических наук, заведующего кафедрой технологии лекарств пятигорского филиала ВолгГМУ Дмитрия Компанцева. Гель представляет собой питательно-строительную смесь со сложным составом, усиленным активаторами регенерации, что стимулирует организм восстанавливать костную ткань.
Причем идентичность таких костей составляет 100 процентов, поскольку они синтезированы собственными клетками остеофитов — наростов, образующихся по краям суставов. По словам ученых, зарегистрированных аналогов подобного по составу геля на сегодня нет в мире.
Биоинертные костнозаместительные материалы на рынке медицинских продуктов, конечно, присутствуют. Но новинка, в отличие от аналогов, представляет собой смарт-систему, активизирующую процессы восстановления тканей. Это гель, а не традиционный порошок для заполнения костных дефектов. С ним удобнее работать хирургам, а еще он полностью заполняет рану, глубоко проникая в скрытые полости и плотно прилегая к поврежденным тканям.
Гель можно использовать как для приобретенных патологий, так и для врожденных дефектов. Например, в хирургии костных и хрящевых тканей челюстно-лицевой области, в стоматологии, для лечения пулевых и осколочных ранений.
Гель обладает повышенной способностью к остеоинтеграции — процессу, при котором живые клетки костей прирастают к поверхности импланта. Препарат также оказывает заживляющее и регенерирующее действие.
Методику уже протестировали на животных с костными дефектами, которые не смогли самостоятельно зарасти. Благодаря гелю эти патологии удалось полностью восстановить за счет собственной полноценной костной ткани. Причем была восстановлена первоначальная ее толщина, образовались новые кровеносные сосуды.
Ученые надеются, что их препарат поможет восстановить здоровье в том числе участникам СВО. Это, кстати, не первая разработка такого рода.
До этого при ВолгГМУ открыли Центр экзопротезов, где разработали специальные губки для быстрого заживления ран и биоразлагаемые перевязочные средства, а также жидкий бронежилет для солдат. ",drumweld,"Разработка,Новости,Наука,Медицина"
https://backend.alpha.kapi.bar/v1/posts/c52a589a-797b-4a33-bdf7-52c63851b302/,2024-06-02 00:26:43.491844,2024-05-21 02:51:20.665060+00:00,Несодержательный пост.,"Я еще со старта проекта приберёг кучу контента до релиза капибару. Врать не буду, даже не ожидал рабочей беты:) Но ждать релиза у меня сил уже нет, поэтому, уважаемые капибарины и капибарышни - анонс! (не путать с ньюансом).
Анонсирую цикл статей: ""наша планета - параша"".
Всёпропалова там не будет, несмотря на кликбейтный заголовок, будет подробный,  научно-популярный и, насколько смог, беспристрастный разбор самых глобальных проблем человечества с точки зрения самого обычного инженера-химика. Точка зрения будет под интересным углом, докопаемся до самых молекул.
Уже готовы статьи:
1) микропластик
2) химики и маркетологи в косметике
3) гиалуроновое безумие
4) учёный изнасиловал журналиста, кто следующий?
5) вещества, о которых вы не знали
6) вещества, о которых лучше не знать
Статьи будут выходить по паре в месяц. 
ВАЖНО: Статьи без целей монетизации и коммерции, продвижений телеграмм-каналов и сайтов. Рекламировать никакую продукцию, также свою или чужую рожу я не буду. Контент, насколько могу, достоверный и подтверждён пруфами, не продвигает никакую повесточку и не делает опасных упрощений, не даёт ненужных советов и не злорадствует, без нейросетей и контентозаменителей. Как раз то, что нужно для этого прекрасного сайта с минусами, энтузиастами и саморегуляцией контента (и надеюсь на релизе обещаниями таким и остаться).
Серии ""самый невезучий предприниматель"" и ""химические истории"" не заканчиваются. После релиза обещаю ещё рукоделие, историю методов химического анализа и синтеза.
Единственное о чём вас прошу. 
Т.к. химия - это ""читерский"" контент, наш мир - химия и писать можно обо всём что вижу, как акын казахский, а мой своеобразный взгляд на мир уже замылился, то у меня возникла проблема с выбором дальнейших тем и акцентов для моей писанины, чтобы именно вам было интересно. Нужна ваша помошь. Если вас интересуют какие-то темы с химической точки зрения, кроме, естественно: ""что чем отмыть?"", ""как чё сварить?"" и ""как избавиться от трупа мёртвой шлюхи?"", то отпишитесь, пожалуйста, если не сложно, тут в комментариях. Обязательно ответы на ваши вопросы будут бонусами к постам или станут темой новых. Или тут отвечу, если простой.",gulyash_bez_piva,"[Своё],Химия,Вопрос"
https://backend.alpha.kapi.bar/v1/posts/38614098-b71f-46bc-843d-2f01d266c5ee/,2024-06-02 00:26:43.930155,2024-05-06 13:09:12+00:00,"Обновления на kapi.bar - галочки, ссылки и счетчики!","Приветствуем Капибарины и Капибарышни!
Мы приготовили обновления!
Первое - это  касается в первую очередь пользователей, которые не верифицированы.
Все мы понимаем что когда есть что сказать, а сказать возможности нет, то настроение может испортиться на целый день! Поэтому нами было принято решение дать возможность комментировать посты не верифицированным пользователям,  то есть тем, которые по тем или иным причинам не  подтвердили свой аккаунт через Telegram.
Также неверифицированные пользователи могут подписываться на теги, ставить их в игнор,  то есть настраивать свою ленту так как им удобно и даже скрывать просмотренные посты!
Но некоторые посты могут быть и недоступными - это NSFW контент и жесть,  а еще у вас не будет красивой зелененькой галочки, которая могла бы стоять справа от вашего никнейма! Верификация это дополнительная защита от ботов/мультиакков, и без нее, к сожалению, мы не можем доверить существенное влияние на рейтинги, поэтому только одна оценка в день.
По просьбам радиослушателей многих пользователей мы подкрутили анонимов: теперь будет ставиться автоматический тег ""Анонимные посты"", чтобы те, кто не любит анонимов могли закинуть их в игнор, а те кто наоборот любит анонимные посты,  могли бы подписаться и не пропустить ни единого поста!
Ещё одно немаловажное обновление: теперь каждый  может посмотреть сколько его постов попало в тренды, это можно посмотреть как в своём профиле так и в профиле соседа,  то есть другого пользователя - счетчик заработал!
Также стоит обратить внимание, что теперь, когда вы в свой пост вставляете ссылку на другой пост, то она уже будет выглядеть весьма симпатично и отражать полное название другого поста.
Было:
Стало:
А на предпросмотре вы уже  увидите, правильно ли скопировали ссылку, нет ли там лишних символов, в общем увидите её корректность.
Также поправили ссылки на комментарии - теперь они выглядят покороче и более приятные глазу,  чем это было не так давно.
Было:
Стало:
Мы обратили внимание на ваши жалобы что лента ""Авторское"" иногда работает некорректно и над ней провелась работа -  мы убрали все недочеты, которые смогли заметить и конечно же наделали новых (не специально, правда).  Поэтому те, кто активно пользуется лентой ""Авторское"" просим проверить, потестить и если что,  добро пожаловать в багрепорты!
А еще мы добавили проверок в коде (юнит-тестов на профессиональном жаргоне). Это значит, что если в будущем мы что-то накосячим в уже сделанном коде, то узнаем об этом до того как выкатим обновление и старый функционал не сломается. А это значит, что множество несовершенств просто не попадутся вам на сайте!
Мы понимаем что исправление некоторых багов имеет для многих больший приоритет, нежели то что мы сделали, но поверьте, ни один баг не остался без внимания - всё делается, чинится, выполняется. Просто иногда, если по пути можно сделать какую-нибудь интересную штуку, которая всё равно пригодится в будущем,  то почему бы ее не сделать сейчас 🙂
Также напоминаем: если у вас есть возможности, способности и знания, то мы открыты к расширению и с радостью поделимся всеми необходимыми инструментами чтоб делать Капибару лучше вместе",Kapibara,"[Своё],[Авторское],Обновление"
https://kostroma.today/news/kostromskaya-doyarka-stala-odnoj-iz-samyx-luchshix-v-rossii/,2024-06-02 01:19:16.636629,2023-08-19 12:15:04+03:00,Костромская доярка стала одной из самых лучших в России,"Она заняла на специальном конкурсе 3 место.Костромичка заняла призовое место за свой профессионализм, узнал KOSTROMA.TODAY.Как сообщает департамент АПК, Людмила Боброва участвовала во всероссийском конкурсе операторов машинного доения и вошла в число победителей. Она продемонстрировала свои навыки и смогла занять 3 место.Интересно, что такое происходит впервые. До Людмилы никто из костромичек не занимал таких высоких мест на этом конкурсе. Известно, что женщина приехала из сельского поселения Расловское, которое находится в Судиславском районе. Именно там она и тренировалась в машинном доении, что помогло ей занять высокое место на конкурсе.",РЕДАКЦИЯ,
